datetime,carbon_intensity_actual,avg_carbon_intensity_forecast,error
2019-05-06 20:00:00,256.75,252.45457,0.017014665
2019-05-06 21:00:00,254.53,252.42817,0.008326448
2019-05-06 22:00:00,252.49,252.62306,0.000526714
2019-05-06 23:00:00,259.19,252.37856,0.02698898
2019-05-07 00:00:00,266.54,257.92661,0.033394732
2019-05-07 01:00:00,272.18,255.84327,0.063854445
2019-05-07 02:00:00,276.51,252.74054,0.094046883
2019-05-07 03:00:00,271.09,247.51647,0.095240248
2019-05-07 04:00:00,264.43,243.64198,0.085321996
2019-05-07 05:00:00,254.89,242.54121,0.050914193
2019-05-07 06:00:00,253.54,242.07419,0.04736486
2019-05-07 07:00:00,247.81,242.71497,0.020991824
2019-05-07 08:00:00,246.55,244.28572,0.009268982
2019-05-07 09:00:00,247.45,246.73041,0.002916503
2019-05-07 10:00:00,254.04,249.76728,0.017106804
2019-05-07 11:00:00,261.19,253.37301,0.030851708
2019-05-07 12:00:00,263.15,255.40632,0.030319062
2019-05-07 13:00:00,261.76,257.15498,0.017907567
2019-05-07 14:00:00,262.67,257.77991,0.01897002
2019-05-07 15:00:00,261.57,257.34071,0.016434594
2019-05-07 16:00:00,264.97,255.9095,0.035405094
2019-05-07 17:00:00,269.99,254.86544,0.059343315
2019-05-07 18:00:00,274.82,254.1448,0.081352048
2019-05-07 19:00:00,275.02,254.71918,0.079698828
2019-05-07 20:00:00,270.97,254.95331,0.062822052
2019-05-07 21:00:00,268.03,254.60248,0.052739156
2019-05-07 22:00:00,265.96,254.37465,0.045544436
2019-05-07 23:00:00,262.61,254.54876,0.031668746
2019-05-08 00:00:00,274.48,263.46258,0.041817779
2019-05-08 01:00:00,283.25,259.30505,0.092342783
2019-05-08 02:00:00,279.76,253.78836,0.10233582
2019-05-08 03:00:00,272.06,246.01953,0.105847166
2019-05-08 04:00:00,256.74,240.2134,0.068799659
2019-05-08 05:00:00,248.16,237.90923,0.043086895
2019-05-08 06:00:00,244.23,236.99239,0.030539419
2019-05-08 07:00:00,240.98,238.12922,0.011971567
2019-05-08 08:00:00,241.04,240.77559,0.001098159
2019-05-08 09:00:00,241.32,244.6289,0.013526202
2019-05-08 10:00:00,242.36,249.42648,0.028330913
2019-05-08 11:00:00,246.15,254.69505,0.033550122
2019-05-08 12:00:00,250.7,257.74569,0.027335821
2019-05-08 13:00:00,255.81,260.18202,0.016803698
2019-05-08 14:00:00,259.14,261.4746,0.008928592
2019-05-08 15:00:00,260.33,261.40815,0.004124393
2019-05-08 16:00:00,259.67,260.00284,0.00128014
2019-05-08 17:00:00,263.06,259.07355,0.015387329
2019-05-08 18:00:00,265.52,258.48455,0.027218068
2019-05-08 19:00:00,263.03,259.11709,0.015100934
2019-05-08 20:00:00,262.26,259.49847,0.010641797
2019-05-08 21:00:00,259.46,259.47599,6.16e-05
2019-05-08 22:00:00,256.48,259.76116,0.01263145
2019-05-08 23:00:00,258.01,259.49462,0.005721198
2019-05-09 00:00:00,264.28,258.00002,0.024341006
2019-05-09 01:00:00,275.5,253.69895,0.085932756
